Sl. No.,Category,State/UT,Murder (Sec.302 IPC),Culpable Homicide not amounting to Murder (Sec.304 IPC),Infanticide (Sec.315 IPC),Foeticide (Sec.316 IPC),Dowry Deaths (Sec.304B IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Culpable Homicide (Sec.308 IPC),"Grievous Hurt (Sec 325, 326, 326A & 326B IPC)",Kidnapping and Abduction (Sec 363-369 IPC),Rape (Sec.376 IPC),Attempt to Commit Rape (Sec.376 r/w 511 IPC),Rioting (Sec 147-151 & 153A IPC),Robbery (Sec 392 to 394 IPC),Dacoity (Sec 395 to 398 IPC),Arson (Sec 435 to 438 IPC),Total Violent Crimes (Cols.3 to 17)
1,States,Andhra Pradesh,925,128,0,3,100,1615,1,1451,903,621,180,304,294,49,530,7104
2,States,Arunachal Pradesh,56,2,0,0,0,26,0,127,70,74,3,11,52,1,18,440
3,States,Assam,1072,58,0,0,175,750,3,5039,4560,1113,253,230,705,81,275,14314
4,States,Bihar,2930,111,0,0,1057,8667,558,16108,11822,881,17,4736,2282,260,181,49610
5,States,Chhattisgarh,1013,50,6,16,57,753,5,1088,2740,1246,8,961,495,67,343,8848
6,States,Goa,44,4,0,0,0,19,1,85,84,73,0,53,14,4,15,396
7,States,Gujarat,959,125,6,18,10,946,61,3365,1846,610,2,172,575,116,204,9015
8,States,Haryana,1020,78,5,11,234,976,160,1627,3891,1787,255,2373,617,118,295,13447
9,States,Himachal Pradesh,85,11,0,0,1,74,0,478,413,359,9,345,8,1,74,1858
10,States,Jharkhand,1550,57,4,7,208,2862,1,2652,1899,1298,88,1793,702,116,86,13323
11,States,Karnataka,1404,88,1,2,165,3104,36,1993,3365,595,4,4152,1710,221,251,17091
12,States,Kerala,334,94,0,0,11,700,2344,2024,403,814,41,1560,821,60,256,9462
13,States,Madhya Pradesh,1978,185,11,5,518,1849,87,6115,10409,3029,22,1016,1102,67,725,27118
14,States,Maharashtra,2295,245,25,17,180,3479,67,7574,12260,2904,2,8218,6490,553,1049,45358
15,States,Manipur,47,1,0,0,0,153,0,169,100,42,0,84,7,1,27,631
16,States,Meghalaya,72,3,0,0,1,46,0,99,139,75,20,5,50,17,44,571
17,States,Mizoram,31,11,0,0,0,19,14,41,9,14,3,0,19,2,24,187
18,States,Nagaland,21,6,1,0,0,26,0,7,28,7,0,1,18,2,4,121
19,States,Odisha,1379,38,0,0,263,5845,0,22283,5854,1464,161,2248,2996,408,627,43566
20,States,Punjab,670,262,3,10,71,905,67,1776,1654,517,42,1,114,58,80,6230
21,States,Rajasthan,1834,79,7,8,451,2560,794,671,8824,5399,1053,228,1622,104,549,24183
22,States,Sikkim,9,0,0,0,0,10,0,44,46,13,1,8,5,0,13,149
23,States,Tamil Nadu,1690,86,7,0,29,2623,2,1129,737,421,21,2229,2705,141,505,12325
24,States,Telangana,937,256,1,0,137,1500,14,1395,2981,814,36,447,521,34,600,9673
25,States,Tripura,109,0,0,0,25,145,0,711,105,62,8,96,6,1,59,1327
26,States,Uttar Pradesh,3491,1240,0,0,2138,3788,2351,12521,16263,3690,198,4478,1975,80,366,52579
27,States,Uttarakhand,187,43,2,2,70,238,3,147,1169,867,18,915,218,19,25,3923
28,States,West Bengal,1696,234,1,0,406,12279,2891,17548,8088,1111,826,493,284,55,329,46241
Total State (S),Total State (S),Total State (S),27838,3495,80,99,6307,55957,9460,108267,100662,29900,3271,37157,26407,2636,7554,419090
29,Union Territories,Andaman and Nicobar Islands,7,3,0,0,0,8,10,32,15,12,1,6,4,0,1,99
30,Union Territories,Chandigarh,18,6,0,0,1,21,2,19,141,78,1,28,16,5,8,344
31,Union Territories,Dadra and Nagar Haveli and Daman and Diu,16,1,0,0,1,6,0,34,51,9,0,11,15,0,2,146
32,Union Territories,Delhi,509,90,3,2,131,785,676,427,5641,1212,4,66,1808,18,105,11477
33,Union Territories,Jammu and Kashmir,99,25,0,1,9,454,0,51,1046,287,11,520,84,4,124,2715
34,Union Territories,Ladakh,5,0,0,0,0,3,0,0,8,5,0,7,4,0,1,33
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5
36,Union Territories,Puducherry,30,1,0,0,1,22,1,54,24,9,0,21,18,3,15,199
Total UT (S),Total UT (S),Total UT (S),684,126,3,3,143,1299,689,617,6926,1616,17,659,1949,30,257,15018
Total All India,Total All India,Total All India,28522,3621,83,102,6450,57256,10149,108884,107588,31516,3288,37816,28356,2666,7811,434108
